csv_id;name;description;country;logo
1;Panasonic;"Японский бренд бытовой техники и электроники.";Япония;vendors/panasonic.jpg
2;Samsung;"Южнокорейский бренд, принадлежащий одному из крупнейших производителей электроники и бытовой техники — транснациональной корпорации Samsung Electronics.";"Южная Корея";vendors/samsung.jpg
3;Nikon;"Японский бренд, производитель фототехники";Япония;vendors/nikon.jpg
4;D-link;"Является ведущим мировым производителем сетевого оборудования корпоративного уровня";Тайвань;vendors/dlink.jpg
5;Canon;"Японский бренд фототехники, оптического и офисного оборудования.";Япония;vendors/canon.jpg
6;Motorola;"Ныне упразднённая американская компания, бывшая в своё время одним из мировых лидеров в области интегрированных телекоммуникаций, и встроенных электронных систем.";США;vendors/motorola.jpg
7;ASUS;"Тайваньский бренд производителя потребительской электроники и компьютерной техники ASUSTeK Computer.";Тайвань;vendors/asus.jpg
8;Bosch;"Немецкий бренд, под которым производится различная бытовая техника для дома и кухни: крупная, мелкая, климатическая и техника для индивидуального ухода.";Германия;vendors/bosch.jpg
9;Philips;"Торговая марка потребительской электроники, бытовой техники для кухни и дома, а также товаров для красоты и здоровья.";Нидерладный;vendors/philips.jpg
